job_title,company_name,size,founded,type,industry,sector
Staff Product Scientist - Responsible AI,Indeed,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology
"Data Scientist, Enterprise","Grammarly, Inc.",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology
Data Scientist Positions,Princeton University,5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education
Data Scientist (L5) - Personalization Algorithm Experimentation,Netflix,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology
Junior Data Scientist (Hybrid),Summit Consulting,501 to 1000 Employees,--,Company - Private,Insurance Carriers,Insurance
Junior Data Scientist,DonorSearch,1 to 50 Employees,--,Company - Public,Accounting & Tax,Financial Services
Workforce Data Scientist - Columbia,State of South Carolina,10000+ Employees,1788,Government,State & Regional Agencies,Government & Public Administration
Data Scientist,Caterpillar,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing
HR Analytics - Data Scientist (Remote),CrowdStrike,5001 to 10000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist,PollyEx,1 to 50 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Data Science, Staff",Synopsys,10000+ Employees,1986,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,Oracle,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist,Fortinet,10000+ Employees,2000,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,TriNet,1001 to 5000 Employees,1988,Company - Public,Business Consulting,Management & Consulting
Data Scientist,McGraw Hill LLC.,1001 to 5000 Employees,1888,Subsidiary or Business Segment,Education & Training Services,Education
Data Scientist I,The University of Pittsburgh,10000+ Employees,1787,College / University,Colleges & Universities,Education
Data Scientist - Generative AI,Humana,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare
"Scientist, Data Science - Hybrid",XPO,10000+ Employees,2011,Company - Public,Shipping & Trucking,Transportation & Logistics
Data Scientist,Micron,10000+ Employees,1978,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,Revenue Management Solutions Llc,Unknown,--,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,Intone Networks,201 to 500 Employees,--,Company - Private,Information Technology Support Services,Information Technology
"Data Scientist, Product & Pricing",CVS Health,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare
Data Science Co-op,Johnson & Johnson,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Scientist,Hewlett Packard,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology
"Co-op, Flight Operations Learning - Data Visualization (Fall, 2024)",Delta Airlines,10000+ Employees,1928,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics
United States,Wellness and Equity Alliance LLC,51 to 200 Employees,--,Nonprofit Organization,--,--
Data Scientist I,Putnam,1001 to 5000 Employees,1937,Subsidiary or Business Segment,Investment & Asset Management,Financial Services
Senior Data Scientist,ActBlue,51 to 200 Employees,2004,Nonprofit Organization,Financial Transaction Processing,Financial Services
Remote,AccessHope,1 to 50 Employees,--,Company - Private,--,--
Senior Expert Data Science (Process Data Scientist),Novartis,Unknown,--,Company - Public,--,--
"Data Scientist, Product",Clubhouse,Unknown,--,Company - Private,Internet & Web Services,Information Technology
Data Scientist I,Cotiviti,5001 to 10000 Employees,1979,Company - Private,Information Technology Support Services,Information Technology
Data Scientist - Hybrid,Alliant Credit Union,501 to 1000 Employees,1935,Nonprofit Organization,Banking & Lending,Financial Services
Applied Scientist: Opportunities for University Graduates,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,BasisPath Inc,1 to 50 Employees,2013,Contract,National Agencies,Government & Public Administration
Data Scientist,Berkshire Hathaway Direct Insurance Company,501 to 1000 Employees,1940,Subsidiary or Business Segment,Insurance Carriers,Insurance
Finance Analytics Data Scientist,Tesla,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing
Imaging Data Scientist - AI/Python/Machine Learning,MD Anderson Cancer Center,10000+ Employees,1941,Hospital,Health Care Services & Hospitals,Healthcare
"Senior Data Scientist, Wholesale",Frontier Communications,10000+ Employees,1935,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications
Data Science Opportunities,Intuit,10000+ Employees,1983,Company - Public,Software Development,Information Technology
Data Scientist,PayPal,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology
Entry-level Data Scientist,CACI,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense
Staff Applied Scientist I,Etsy,1001 to 5000 Employees,2005,Company - Public,Other Retail Stores,Retail & Wholesale
"Montgomery, AL",Online Commerce Group (OCG),Unknown,--,Company - Private,Consumer Product Manufacturing,Manufacturing
Data Scientist,SAP,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist,Rockerbox,51 to 200 Employees,--,Company - Private,Software Development,Information Technology
"Data Scientist, Remote","Aperia Technologies, Inc",51 to 200 Employees,2010,Company - Private,Consumer Product Manufacturing,Manufacturing
"Decision Scientist, Fraud Risk - Afterpay",Afterpay,501 to 1000 Employees,2014,Company - Public,Internet & Web Services,Information Technology
Data Scientist - Product Analytics,"Observe, Inc.",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Data Scientist II, Customer Obsession",Uber,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology
Data Scientist,Apple,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology
Clinical Data Scientist II (JR16335),Teladoc Health,1001 to 5000 Employees,2002,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist,Retool,201 to 500 Employees,2017,Company - Private,Computer Hardware Development,Information Technology
Computational Medicinal Chemist/Senior Expert Data Science,Novartis,Unknown,--,Company - Public,--,--
Data Scientist,Jackson Lewis,1001 to 5000 Employees,1958,Company - Private,Legal,Legal
Data Scientist - Support,Afterpay,501 to 1000 Employees,2014,Company - Public,Internet & Web Services,Information Technology
Data Scientist,The University of Chicago Medicine,10000+ Employees,1986,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Senior Data Scientist,Shipt,1001 to 5000 Employees,2014,Subsidiary or Business Segment,Internet & Web Services,Information Technology
Data Scientist,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,Kyla,1 to 50 Employees,--,Company - Private,--,--
United States,ANALYTOS,,,,,
University - Data Scientist,Booz Allen,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting
Data Scientist,Thermo Fisher Scientific,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
"Data Scientist (L5) - Applied Research, Consumer Insights",Netflix,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology
Data Scientist,CenterPoint Energy,5001 to 10000 Employees,1866,Company - Public,Energy & Utilities,"Energy, Mining & Utilities"
Data Scientist,Apple,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology
Data Science Co-op,bioMerieux SA,10000+ Employees,1963,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Scientist,SYSCO,10000+ Employees,1969,Company - Public,Wholesale,Retail & Wholesale
Data Scientist,JPMorgan Chase & Co,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services
"Decision Scientist, Fraud Risk",Block,1001 to 5000 Employees,1995,Company - Private,Security & Protective,Management & Consulting
Data Scientist - Support,Cash App,1001 to 5000 Employees,2013,Company - Public,Computer Hardware Development,Information Technology
"Data Scientist II, Product",Google,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology
Data Scientist - Analytics II,AppLovin,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology
Data & Applied Scientist,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
"Co-op, Machine Learning Data Scientist",Biogen,5001 to 10000 Employees,1978,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Scientist,Husch Blackwell LLP,1001 to 5000 Employees,--,Company - Private,Legal,Legal
Assistant Data Scientist - Epigenetics & Molecular Carcinogenesis (Genomics),MD Anderson Cancer Center,10000+ Employees,1941,Hospital,Health Care Services & Hospitals,Healthcare
Bioinformatician / Data Scientist / Computational Biologist,Novartis,Unknown,--,Company - Public,--,--
Data Scientist II,Leverege,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Scientist I - Hybrid,Radian,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance
Data Scientist,Couchbase,201 to 500 Employees,2011,Company - Public,Computer Hardware Development,Information Technology
Part-Time Remote Sensing Data Scientist,Penn State University,10000+ Employees,1855,College / University,Colleges & Universities,Education
Data Scientist II,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
Data Scientist - Clinical Analytics,CVS Health,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist II,Edwards Lifesciences,10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing
Remote,at Cars Commerce,1001 to 5000 Employees,--,Company - Public,--,--
Data Scientist,Kemper,5001 to 10000 Employees,1990,Company - Public,Insurance Carriers,Insurance
Applied Scientist I,Capital Group Companies,5001 to 10000 Employees,1931,Company - Private,Investment & Asset Management,Financial Services
"Data Scientist, Product Insights","Intelliswift Software, Inc.",1001 to 5000 Employees,2001,Company - Private,Software Development,Information Technology
Staff Data Scientist,AppLovin,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology
Data Scientist I,Murphy USA,5001 to 10000 Employees,--,Company - Public,Convenience Stores,Retail & Wholesale
Machine Learning Scientist II,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
Data Scientist II,FIS Global,10000+ Employees,1968,Company - Public,Financial Transaction Processing,Financial Services
"Washington, DC",US Smithsonian Institution,1 to 50 Employees,--,Nonprofit Organization,--,--
Data Scientist,"Marriott International, Inc",10000+ Employees,1927,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation
senior decision scientist,Starbucks,10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service
Staff Data Scientist,Dropbox,1001 to 5000 Employees,2007,Company - Public,Computer Hardware Development,Information Technology
Associate Data Scientist,Ameriprise Financial,10000+ Employees,1894,Company - Public,Investment & Asset Management,Financial Services
Data Scientist,Southern Methodist University,Unknown,1911,College / University,Colleges & Universities,Education
Data Science Co-op,Johnson & Johnson,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
"Decision Scientist, Fraud Risk - Afterpay",Cash App,1001 to 5000 Employees,2013,Company - Public,Computer Hardware Development,Information Technology
Data Scientist I,The University of Pittsburgh,10000+ Employees,1787,College / University,Colleges & Universities,Education
Remote Sensing Data Scientist,ClimateAI,1 to 50 Employees,--,Company - Private,--,--
Data Scientist,Hewlett Packard,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology
Product Data Scientist,Venmo,51 to 200 Employees,2009,Company - Public,Financial Transaction Processing,Financial Services
Data Scientist,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
Remote - Fraud Data Scientist,Green Dot Corporation,1001 to 5000 Employees,1999,Company - Public,Financial Transaction Processing,Financial Services
Machine Learning Data Scientist,LeanPath,51 to 200 Employees,2004,Company - Private,Computer Hardware Development,Information Technology
"Business Data Scientist, Product Services Analytics",Google,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology
Sr. Data Scientist - Data & Analytics (Remote),WCG,1001 to 5000 Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
"Data Scientist, Product Analytics (Early Career) - USDS",TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
Data Scientist,Cint,501 to 1000 Employees,1998,Company - Public,Software Development,Information Technology
Data Scientist,Propel,51 to 200 Employees,2014,Company - Private,Internet & Web Services,Information Technology
"San Juan, PR",InnovaWorkforce Inc.,Unknown,--,Company - Public,HR Consulting,Human Resources & Staffing
Engineer I – Data Scientist – AI/ML Technology,BAE Systems,10000+ Employees,1999,Company - Public,Aerospace & Defense,Aerospace & Defense
"Senior Data Scientist, Finance",Snowflake,5001 to 10000 Employees,2012,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist - Generative AI,Mayo Clinic,10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Data Scientist,Acadia.io,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology
AI Machine Learning Scientist,Elevance Health,10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist,Apple,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,HCLTech,10000+ Employees,1991,Company - Public,Information Technology Support Services,Information Technology
Data Scientist,Apexanalytix,201 to 500 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology
Virginia,Mosaic Data Science,51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology
"Data Scientist, 1+ Years of Experience",Snapchat,5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology
Data Scientist II - Product Analytics (Remote Eligible),Smartsheet,1001 to 5000 Employees,2005,Company - Public,Software Development,Information Technology
Data Scientist,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,University of Missouri,10000+ Employees,1839,College / University,Colleges & Universities,Education
Staff Data Scientist Operations,LegalZoom,1001 to 5000 Employees,2001,Company - Public,Information Technology Support Services,Information Technology
"Analyst, Analytics and Data Science",Blue Cross Blue Shield of Arizona,1001 to 5000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance
Expert AI/ML Data Scientist - Generative AI,SAP,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology
Associate Data Scientist,Takeda Pharmaceutical,10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Associate Data Scientist,YPrime,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology
Data Scientist 1 - Python/AI/ML,Captivation Software,1 to 50 Employees,--,Company - Private,Computer Hardware Development,Information Technology
"Data Scientist, Payment Analytics - USDS",TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
Associate Data Scientist Bioinformatics,MD Anderson Cancer Center,10000+ Employees,1941,Hospital,Health Care Services & Hospitals,Healthcare
Data Scientist,EvenUp,Unknown,--,Company - Public,Internet & Web Services,Information Technology
AI/ML Data Scientist,CommandLink,1 to 50 Employees,2012,Company - Private,Telecommunications Services,Telecommunications
Enterprise Risk Data Science Senior Associate (Hybrid),Fannie Mae,5001 to 10000 Employees,1938,Company - Public,Banking & Lending,Financial Services
Machine Learning Engineer,Stier Solutions,1 to 50 Employees,--,Company - Private,--,--
Data Scientist,Fractal Analytics,1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting
Sr ML Data Scientist,Discount Tire,10000+ Employees,1960,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale
Data Scientist 1,Elder Research Inc,51 to 200 Employees,1995,Company - Private,Business Consulting,Management & Consulting
Data Scientist Associate,Tencent,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology
Data Scientist,National Security Agency,Unknown,1962,Government,National Agencies,Government & Public Administration
SR DATA SCIENTIST,"Hard Rock Digital, LLC",10000+ Employees,1971,Company - Private,Restaurants & Cafes,Restaurants & Food Service
Data Scientist,AAA Life Insurance Company,501 to 1000 Employees,1969,Company - Private,Insurance Carriers,Insurance
Data Scientist,New York State Office of the Attorney General,1001 to 5000 Employees,--,Government,State & Regional Agencies,Government & Public Administration
Data Scientist,TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
Data Scientist,ISE Data Systems,1 to 50 Employees,--,Company - Public,--,--
Data Scientist,Little Caesars/Blue Line Distribution,5001 to 10000 Employees,1959,Subsidiary or Business Segment,Restaurants & Cafes,Restaurants & Food Service
Data Scientist,Capital Group Companies,5001 to 10000 Employees,1931,Company - Private,Investment & Asset Management,Financial Services
Sr Data Scientist,Honeywell,10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,HTN Wireless,1 to 50 Employees,--,Company - Private,Business Consulting,Management & Consulting
Associate Data Scientist,Berkley,1 to 50 Employees,2012,Company - Private,Commercial Printing,Manufacturing
Data Scientist II,Puget Sound Energy,1001 to 5000 Employees,1997,Company - Private,Energy & Utilities,"Energy, Mining & Utilities"
Data Scientist I,"Knowesis, Inc.",51 to 200 Employees,2007,Company - Private,Business Consulting,Management & Consulting
Data Scientist,BRADY WORLDWIDE INC,5001 to 10000 Employees,1914,Company - Public,Machinery Manufacturing,Manufacturing
Data Scientist - All Levels,Interclypse Inc,51 to 200 Employees,2007,Company - Private,Software Development,Information Technology
Data Scientist,Chainlink Labs,501 to 1000 Employees,2014,Company - Public,Internet & Web Services,Information Technology
Data Science Co-op,Johnson & Johnson,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Scientist,Southern Company,10000+ Employees,1945,Company - Public,Energy & Utilities,"Energy, Mining & Utilities"
Data Scientist,IT Consulting Services,1 to 50 Employees,--,Company - Private,Accounting & Tax,Financial Services
Data Scientist,Mutual of Omaha Mortgage,1001 to 5000 Employees,2016,Company - Private,Real Estate,Real Estate
Data Scientist,EVERSANA,5001 to 10000 Employees,2018,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Scientist,INTEL,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology
Machine Learning and AI Scientist II,Fulgent Therapeutics Llc,51 to 200 Employees,--,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Senior Data and Applied Scientist,Microsoft,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology
"Associate Decision Scientist, Client Analytics",Ibotta,501 to 1000 Employees,2012,Company - Private,Internet & Web Services,Information Technology
Data Scientist,Hyperspace Ventures,1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology
Data Scientist,Winnebago Industries Inc,1001 to 5000 Employees,1958,Company - Public,Transportation Equipment Manufacturing,Manufacturing
Data Scientist – Generative AI,Hewlett Packard,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology
Data Scientist,Provident Credit Union,201 to 500 Employees,1950,Nonprofit Organization,Banking & Lending,Financial Services
Data Scientist,"Postal.io, Inc.",51 to 200 Employees,2019,Company - Private,Software Development,Information Technology
"Machine Learning Engineer, Early Career","Viasat, Inc.",5001 to 10000 Employees,1986,Company - Public,Telecommunications Services,Telecommunications
Data Scientist,Abbott Laboratories,10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist,goop,201 to 500 Employees,2008,Company - Private,Beauty & Wellness,Personal Consumer Services
Data Scientist,Energy and Environmental Economics,1001 to 5000 Employees,1964,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services"
Data Scientist - OTCHS,CVS Health,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare
"Data Scientist, Analytics",Bowery Farming,51 to 200 Employees,2015,Company - Private,Crop Production,Agriculture
Data Scientist,Penske Truck Leasing and Logistics,10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics
Data Scientist,BlackLine,1001 to 5000 Employees,2001,Company - Public,Software Development,Information Technology
Data Scientist,Fabletics,Unknown,2013,Company - Private,Internet & Web Services,Information Technology
Sr. Data Scientist - Machine Learning,QVC,10000+ Employees,1986,Company - Public,Other Retail Stores,Retail & Wholesale
Data Scientist,Altria,5001 to 10000 Employees,1919,Company - Public,Consumer Product Manufacturing,Manufacturing
Data Analyst,UCLA,1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education
Data Scientist,Praxis Engineering,201 to 500 Employees,2002,Subsidiary or Business Segment,Computer Hardware Development,Information Technology
"Somerville, MA",Generate Biomedicines,1 to 50 Employees,--,Company - Public,--,--
Data Scientist,"LandMark Implement, Inc.",201 to 500 Employees,--,Company - Private,Farm Support,Agriculture
Data Scientist,"Lockton, Inc.",10000+ Employees,1966,Company - Private,Insurance Agencies & Brokerages,Insurance
Data Scientist,KEDPLASMA LLC.,1001 to 5000 Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
RWD Data Scientist,ConcertAI,501 to 1000 Employees,2017,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense
Data Scientist,Valley National Bank,1001 to 5000 Employees,1927,Company - Public,Banking & Lending,Financial Services
Data Scientist,Nyla Technology Solutions,1 to 50 Employees,2013,Company - Private,State & Regional Agencies,Government & Public Administration
"Philadelphia, PA",FS Investments,201 to 500 Employees,2007,Company - Private,Investment & Asset Management,Financial Services
Data Scientist Biostatistician,Mass General Brigham,1001 to 5000 Employees,1994,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Data Scientist,Porch,201 to 500 Employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology
Associate Data Scientist,University Hospitals,10000+ Employees,1863,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Jr. ML Engineer,BallerTV,1 to 50 Employees,--,Company - Private,--,--
Associate Data Scientist,Berkley,1 to 50 Employees,2012,Company - Private,Commercial Printing,Manufacturing
Data Scientist,BlackLine,1001 to 5000 Employees,2001,Company - Public,Software Development,Information Technology
Forensic Scientist Data Review Team Lead,Abbott Laboratories,10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist,InfoMagnus,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Scientist,Parsons,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology
Data Scientist - Generative AI,Mayo Clinic,10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Data Scientist II,Amazon.com Services LLC,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology
"Washington, DC",Digital Asset Bulk Analysis Support Project,,,,,
Remote,at Cars Commerce,1001 to 5000 Employees,--,Company - Public,--,--
"Applied Scientist, Modeling and Optimization",Amazon.com Services LLC,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology
Data Scientist CG60,Philips,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist,NICE,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist I,Cotiviti,5001 to 10000 Employees,1979,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,Nyla Technology Solutions,1 to 50 Employees,2013,Company - Private,State & Regional Agencies,Government & Public Administration
"Senior Data Scientist, Finance",Snowflake,5001 to 10000 Employees,2012,Company - Public,Enterprise Software & Network Solutions,Information Technology
"Senior Data Scientist, Machine Learning",Zoox,1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology
Data Scientist,WebstaurantStore,1001 to 5000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale
Data Scientist,Corning,10000+ Employees,1851,Company - Public,Electronics Manufacturing,Manufacturing
"Data Scientist, Product",Clubhouse,Unknown,--,Company - Private,Internet & Web Services,Information Technology
Data Scientist - Insurance Modeling,Allstate,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance
Data Reviewer/Senior Research Associate/Associate Scientist,KBI Biopharma,1001 to 5000 Employees,1996,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Lead Data Scientist,Nabors Industries,10000+ Employees,--,Company - Public,Energy & Utilities,"Energy, Mining & Utilities"
Junior Data Scientist,Soothsayer Analytics,Unknown,--,Company - Private,Information Technology Support Services,Information Technology
Research Data Analyst,University of California San Francisco,10000+ Employees,1864,College / University,Colleges & Universities,Education
Research Data Scientist,"University of California, Riverside",1001 to 5000 Employees,--,College / University,Colleges & Universities,Education
Data Scientist,Advancio,51 to 200 Employees,--,Company - Private,Software Development,Information Technology
"Analyst, Data Science","Ventas, Inc.",201 to 500 Employees,1998,Company - Public,Real Estate,Real Estate
"Associate, Data Scientist",PMX,10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media & Communication
Data Scientist - 1 Year Fellowship,Tech Impact,51 to 200 Employees,2003,Nonprofit Organization,Information Technology Support Services,Information Technology
Data Scientist,Logic Loops,1 to 50 Employees,--,Company - Private,Information Technology Support Services,Information Technology
"Data Scientist, Analytics",Next Insurance,501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Insurance
Machine Learning Research Co-Op,Bose,5001 to 10000 Employees,1964,Company - Private,Consumer Product Manufacturing,Manufacturing
Data Scientist I,"Knowesis, Inc.",51 to 200 Employees,2007,Company - Private,Business Consulting,Management & Consulting
Data Scientist,Interclypse Inc,51 to 200 Employees,2007,Company - Private,Software Development,Information Technology
Data Scientist,Praxis Engineering,201 to 500 Employees,2002,Subsidiary or Business Segment,Computer Hardware Development,Information Technology
Data Science Advisor - Mobile Analytics,FedEx Services,10000+ Employees,2000,Company - Public,Taxi & Car Services,Transportation & Logistics
Data Scientist,Pinnacle Soft Solutions,1 to 50 Employees,--,Contract,--,--
Data Scientist,Texas Children's Hospital,10000+ Employees,1954,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Data Scientist I,Burlington Stores,10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale
Data Scientist,Heineken,10000+ Employees,1864,Company - Private,Food & Beverage Manufacturing,Manufacturing
